Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
444,Joe Lewis ,6.48,-0.505,-0.176,UnitedKingdom,Diversified
445,Charles Cadogan ,6.46,-0.25,-0.602,UnitedKingdom,Real Estate
446,Su Hua ,6.44,-0.211,-0.748,China,Technology
447,Martin Lorentzon ,6.44,0.936,-0.704,Sweden,Technology
448,Jean-Pierre Cayard ,6.43,-0.13,0.668,France,Food&Beverage
449,Marcos Galperin ,6.43,-0.14,-0.625,Argentina,Technology
450,Bin Li ,6.42,-0.227,-1.1,China,Technology
451,Tsai Eng-Meng ,6.42,0.635,0.471,Taiwan,Food&Beverage
452,Ann Kroenke ,6.41,0.387,0.31,UnitedStates,Retail
453,Kjeld Kirk Kristiansen,6.41,-0.11,-0.698,Denmark,Consumer
454,Lai Meisong ,6.4,-0.182,0.229,China,Services
455,Ken Fisher ,6.35,0.296,2.24,UnitedStates,Finance
456,Abhay Vakil&family ,6.32,-0.456,0.544,India,Industrial
457,Tom Morris ,6.3,-0.429,0.7,UnitedKingdom,Retail
458,Leonard Stern ,6.27,0.0,0.774,UnitedStates,Real Estate
459,Kenneth Dart ,6.25,-0.152,-0.644,Cayman,Islands
460,Jean-Michel Besnier ,6.24,-0.681,-0.413,France,Food&Beverage
461,Pat Stryker ,6.22,-0.273,0.55,UnitedStates,Health Care
462,Sam Zell ,6.22,-0.157,1.07,UnitedStates,Real Estate
463,Jeffery Hildebrand ,6.21,0.685,3.12,UnitedStates,Energy
464,Joe Mansueto ,6.21,-0.692,1.53,UnitedStates,Technology
465,Wang Yanqing ,6.2,0.156,1.82,China,Technology
466,Arthur Irving ,4.34,0.0,-3.19,Canada,Energy
467,Sofie Kirk Kristiansen,6.19,-0.85,-0.748,Denmark,Consumer
468,Agnete Kirk Thinggaard,6.19,-0.85,-0.748,Denmark,Consumer
469,Thomas Kirk Kristiansen,6.19,-0.85,-0.748,Denmark,Consumer
470,Ray Hunt ,6.18,-0.104,1.46,UnitedStates,Energy
471,Terry Gou ,6.16,-0.154,-0.446,Taiwan,Industrial
472,Hui Wing Mau,6.15,-0.96,-3.35,HongKong,Real Estate
473,Henry Laufer ,6.15,0.0,0.9,UnitedStates,Finance
474,M A Yusuff Ali,6.13,-0.306,0.702,UAE,Food&Beverage
475,Johan Johannson&family ,6.12,-0.923,0.78,Norway,Retail
476,Richard Branson ,6.12,0.578,0.398,UnitedKingdom,Diversified
477,Tony James ,6.12,-0.274,2.41,UnitedStates,Finance
478,Jiang Bin ,6.12,0.21,0.337,China,Technology
479,Denise Coates ,6.1,-0.92,-4.14,UnitedKingdom,Entertainment
480,Andreas Halvorsen ,6.1,0.894,2.03,Norway,Finance
481,Lin Muqin ,6.1,-0.938,4.51,China,Consumer
482,Wang Wenjing ,6.09,0.171,-1.77,China,Technology
483,Barry Lam ,6.09,-0.318,0.585,Taiwan,Technology
484,Kim Jung-Ju ,6.08,-0.214,-4.23,SouthKorea,Technology
485,Kei Hoi Pang,6.08,-0.619,-2.33,China,Real Estate
486,Antti Herlin ,6.05,0.467,-0.778,Finland,Industrial
487,Bidzina Ivanishvili ,6.05,0.0,0.375,Georgia,Diversified
488,Richard Li ,5.99,-0.109,1.06,HongKong,Media&Telecom
489,Robert Kraft ,5.99,-0.000486,0.98,UnitedStates,Entertainment
490,Katharine Rayner ,5.96,-0.362,-0.156,UnitedStates,Media&Telecom
491,Margaretta Taylor ,5.95,-0.362,-0.166,UnitedStates,Media&Telecom
492,James Cox Chambers,5.95,-0.362,-0.166,UnitedStates,Media&Telecom
493,Mark Cuban ,5.95,0.0,1.03,UnitedStates,Technology
494,Eric Smidt ,5.94,0.421,0.354,UnitedStates,Retail
495,Majid Al Futtaim,5.92,-0.633,-0.686,UAE,Real Estate
496,Barry Diller ,5.92,-0.735,0.366,UnitedStates,Technology
497,Cliff Obrecht ,5.89,0.0,4.99,Australia,Services
498,Melanie Perkins ,5.89,0.0,4.99,Australia,Services
499,Trevor Rees-Jones ,5.89,-0.106,0.898,UnitedStates,Energy
500,Frits Goldschmeding ,5.88,-0.907,0.621,Netherlands,Retail
