Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
223,Michael Platt ,10.7,0.0,5.8,UnitedKingdom,Finance
224,Stephane Bancel ,10.7,-0.837,7.41,France,Health Care
225,Dietmar Hopp ,10.5,-0.226,0.803,Germany,Technology
226,Gordon Moore ,10.5,0.12,0.221,UnitedStates,Technology
227,Christy Walton ,10.5,0.521,0.474,UnitedStates,Retail
228,Cao Renxian ,10.5,-0.462,5.95,China,Technology
229,Patrick Soon-Shiong ,10.5,-0.117,-0.936,UnitedStates,Health Care
230,Carl Cook ,10.5,-0.1,-0.158,UnitedStates,Health Care
231,Michael Kadoorie ,10.4,-0.614,0.565,HongKong,Energy
232,Stan Druckenmiller ,10.4,0.0,4.6,UnitedStates,Finance
233,Qian Dongqi ,10.3,0.297,5.08,China,Technology
234,Stefano Pessina ,10.3,-0.116,1.5,Monaco,Retail
235,German Khan ,10.2,-0.503,0.449,RussianFederation,Diversified
236,Laurent Dassault ,10.2,-0.451,2.57,France,Diversified
237,Marie-Helene Habert-Dassault ,10.2,-0.451,2.57,France,Diversified
238,Thierry Dassault ,10.2,-0.451,2.57,France,Diversified
239,Johann Rupert&family ,10.1,-0.155,2.1,SouthAfrica,Diversified
240,Emmanuel Besnier ,10.1,-0.11,-0.669,France,Food&Beverage
241,Marcel Telles ,10.1,-0.279,-1.22,Brazil,Food&Beverage
242,Evan Spiegel ,10.0,-0.31,0.619,UnitedStates,Technology
243,John Albert Sobrato,9.97,0.0,1.13,UnitedStates,Real Estate
244,Gianluigi Aponte ,9.95,0.0,0.392,Switzerland,Services
245,Li Ge ,9.94,0.211,2.14,UnitedStates,Health Care
246,Les Wexner ,9.94,-0.202,1.97,UnitedStates,Retail
247,Chen Zhiping ,9.92,0.152,-5.69,China,Consumer
248,Jay Y. Lee,9.91,-0.268,-18.1,Korea,Diversified
249,Liu Yongxing ,9.91,-0.177,0.151,China,Industrial
250,John Fredriksen ,9.86,-0.114,1.16,Cyprus,Industrial
251,Li Ping ,9.84,0.469,4.37,China,Industrial
252,Izzy Englander ,9.82,0.126,3.06,UnitedStates,Finance
253,Graeme Hart ,9.81,0.515,-1.99,NewZealand,Finance
254,Liu Yonghao ,9.79,0.212,-3.57,China,Diversified
255,Ding Shizhong ,9.77,-0.863,0.244,China,Consumer
256,Zhong Huijuan ,9.74,-0.264,-10.1,China,Health Care
257,KP Singh  ,9.69,0.301,4.03,India,Real Estate
258,Leonid Fedun ,9.66,-0.989,2.99,RussianFederation,Energy
259,Jerry Jones ,9.65,-0.438,3.26,UnitedStates,Entertainment
260,Wee Cho Yaw,9.61,-0.455,1.13,Singapore,Finance
261,Andy Beal ,9.59,0.0,0.786,UnitedStates,Finance
262,John Malone ,9.53,-0.842,1.45,UnitedStates,Media&Telecom
263,Georg Schaeffler ,9.43,-0.104,-1.32,Germany,Industrial
264,August von Finck,9.4,-0.432,-0.458,Germany,Diversified
265,Ding Shijia ,9.39,-0.829,-0.915,China,Consumer
266,Patrick Drahi ,9.38,-0.11,-4.87,France,Media&Telecom
267,Tim Sweeney ,9.37,0.0,-0.76,UnitedStates,Technology
268,Niels Louis-Hansen ,9.3,-0.283,0.801,Denmark,Health Care
269,Alexander Abramov ,9.25,-0.609,0.867,RussianFederation,Industrial
270,Theo Albrecht Jr,9.2,-0.996,0.543,Germany,Retail
271,Mitchell Rales ,9.19,0.229,2.74,UnitedStates,Industrial
272,Rocco Commisso ,9.15,-0.586,-0.78,UnitedStates,Media&Telecom
273,Rupert Murdoch ,9.14,-0.122,1.68,UnitedStates,Media&Telecom
274,Silvio Berlusconi ,9.09,-0.126,1.01,Italy,Media&Telecom
275,Luis Sarmiento ,9.09,0.235,-1.6,Colombia,Finance
276,Taylor Thomson ,9.07,0.631,2.26,Canada,Media&Telecom
277,Alberto Bailleres ,9.07,-0.292,-1.2,Mexico,Commodities
278,George Lucas ,9.05,-0.226,-0.124,UnitedStates,Entertainment
279,David Thomson ,9.05,0.406,2.24,Canada,Media&Telecom
280,Peter Thomson ,9.05,0.381,2.24,Canada,Media&Telecom
281,Anthony Pratt ,9.02,-0.397,1.25,Australia,Industrial
282,Giorgio Armani ,9.01,0.443,1.38,Italy,Consumer
283,Blair Parry-Okeden ,9.0,-0.547,-0.251,UnitedStates,Media&Telecom
284,Jim Kennedy ,9.0,-0.547,-0.251,UnitedStates,Media&Telecom
285,Samuel Yin ,8.95,0.303,4.56,Taiwan,Diversified
286,Magdalena Martullo ,8.93,-0.619,0.418,Switzerland,Industrial
287,Hansjoerg Wyss ,8.92,-0.44,0.102,Switzerland,Health Care
288,Anthony von Mandl,8.85,0.0,2.85,Canada,Consumer
289,Benu Bangur ,8.8,0.115,1.23,India,Commodities
290,Joseph Tsai ,8.73,-0.174,-3.91,Canada,Technology
291,Reinhold Schmieding ,8.72,-0.234,-0.314,UnitedStates,Health Care
292,Wang Laisheng ,8.69,-0.581,-1.14,China,Industrial
293,Carlos Sicupira ,8.68,-0.262,-1.35,Brazil,Food&Beverage
294,Andy Bechtolsheim ,8.66,0.321,1.8,Germany,Technology
295,Ernest Garcia III,8.66,0.147,1.92,UnitedStates,Consumer
296,Nusli Wadia ,8.66,-0.618,0.765,India,Diversified
297,Rahel Blocher ,8.65,0.188,0.368,Switzerland,Industrial
298,Robert Smith ,8.65,0.0,1.6,UnitedStates,Finance
299,Pham Nhat Vuong,8.62,0.835,0.985,VietNam,Real Estate
300,Tammy Gustavson ,8.62,0.83,2.13,UnitedStates,Services
301,David Sun ,8.57,-0.426,-1.48,UnitedStates,Technology
302,John Tu ,8.57,-0.426,-1.48,UnitedStates,Technology
303,Shigenobu Nagamori ,8.55,0.794,-1.04,Japan,Industrial
304,Jude Reyes ,8.49,0.138,0.551,UnitedStates,Consumer
305,Chris Reyes ,8.49,0.138,0.551,UnitedStates,Consumer
306,Rahul Bajaj ,8.49,-0.474,2.92,India,Diversified
307,Michael Otto ,8.49,-0.192,-1.57,Germany,Retail
308,Sandra Ortega Mera,8.48,-0.523,0.767,Spain,Retail
309,John Doerr ,8.45,0.94,3.19,UnitedStates,Finance
310,Yu Yong ,8.42,0.182,3.02,China,Finance
311,Iskandar Makhmudov ,8.4,-0.116,0.551,RussianFederation,Commodities
312,Stephen Ross ,8.39,0.0,0.245,UnitedStates,Real Estate
313,James Pattison ,8.34,-0.113,0.747,Canada,Media&Telecom
314,Xavier Niel ,8.32,-0.194,1.01,France,Technology
315,Ned Johnson IV,8.32,-0.777,0.989,UnitedStates,Finance
316,Elizabeth Johnson ,8.32,-0.754,0.989,UnitedStates,Finance
317,Oleg Tinkov ,8.3,-0.105,4.3,RussianFederation,Finance
318,Martin Viessmann&family ,8.29,-0.904,1.3,Germany,Industrial
319,Chase Coleman ,8.27,0.106,2.91,UnitedStates,Finance
320,Johann Graf ,8.26,0.708,-1.82,Austria,Entertainment
321,Mat Ishbia ,8.26,0.338,-3.09,UnitedStates,Finance
322,Wu Shaoxun ,8.25,-0.112,-8.2,China,Food&Beverage
323,Jian Jun ,8.24,0.263,3.57,China,Consumer
324,Wang Jianlin ,8.22,-0.589,-6.84,China,Real Estate
325,Vincent Bollore ,8.2,-0.206,3.0,France,Diversified
326,Cen Junda ,8.2,-0.874,-8.72,China,Health Care
327,Michael Rubin ,8.19,0.0,0.0,UnitedStates,Retail
328,Richard Kinder ,8.18,-0.154,1.37,UnitedStates,Energy
329,Cai Kui ,8.18,-0.738,-1.09,China,Real Estate
330,Yao Liangsong ,8.16,0.362,-0.248,China,Retail
331,Li Shuirong ,8.16,0.204,-3.6,China,Energy
332,Nicky Oppenheimer ,8.15,0.0,1.0,SouthAfrica,Diversified
333,Ronda Stryker ,8.13,-0.211,0.912,UnitedStates,Health Care
334,Gabe Newell ,8.13,-0.241,-1.04,UnitedStates,Technology
335,He Xiaopeng ,8.13,0.68,0.663,China,Technology
336,Ralph Lauren ,8.13,0.641,0.767,UnitedStates,Consumer
337,Cheng Xue ,8.12,0.253,-2.27,China,Food&Beverage
338,Natie Kirsh ,8.1,0.738,1.64,SouthAfrica,Food&Beverage
339,Xu Shihui ,8.1,0.424,0.151,China,Food&Beverage
340,Josh Harris ,8.1,-0.533,1.99,UnitedStates,Finance
341,Dennis Washington ,8.07,0.726,0.941,UnitedStates,Industrial
342,Wang Laichun ,8.06,-0.581,-1.78,China,Industrial
343,Frederik Paulsen ,8.06,-0.853,3.01,Sweden,Health Care
344,Zhao Yan ,8.03,0.313,0.958,China,Health Care
345,Laurence Graff ,8.01,0.126,1.82,UnitedKingdom,Consumer
346,John Sall ,7.99,0.665,1.46,UnitedStates,Technology
347,Andrey Guryev ,7.98,-0.201,2.87,RussianFederation,Industrial
348,Liz Mohn ,7.96,-0.23,1.2,Germany,Media&Telecom
349,Leng You-Bin ,7.96,0.147,-2.78,China,Consumer
350,Tatyana Bakalchuk ,7.96,-0.162,-1.13,RussianFederation,Technology
351,Steven Spielberg ,7.9,0.0,0.75,UnitedStates,Entertainment
352,Charles Butt&family ,7.88,0.0,2.56,UnitedStates,Retail
353,Frank Lowy ,7.85,-0.75,0.45,Australia,Real Estate
